survey_id,question_id,question_text,question_type,question_variant,persona_id,response_value,response_time,confidence_score,group,condition,persona_source,persona_description,persona_gender,persona_education
bc080921-22a7-4968-84b7-fb5ff4d2c865,5787e4deb6813f4e0f0ca81654817f4a,4 of your neighbors have got a flushot. get yours now! Will you get a flu shot?,multiple_choice,,elite_11,Yes,1.3848350048065186,,,,personahub_elite,"A historian who is interested in the history of measurement, particularly the medieval period, and how it influenced business, justice, and devotion. They are also interested in the history of hair and grooming in the Middle Ages, and how it relates to the study of usages of classical Arabic words with the z-r-q root in the Qur'an, Qur'anic commentaries, hadith, early medical treatises, and words of adab. They are also interested in the history of medieval crafts, particularly the cloth trade in England, and the lives of medieval servants in York's recreated medieval townhouse.",,
bc080921-22a7-4968-84b7-fb5ff4d2c865,5787e4deb6813f4e0f0ca81654817f4a,4 of your neighbors have got a flushot. get yours now! Will you get a flu shot?,multiple_choice,,elite_0,No,1.193795919418335,,,,personahub_elite,"A software developer who is looking for a way to simplify the integration of GPRS technology into their embedded system designs. They are interested in developing a stable and efficient software stack for an embedded system and are willing to invest time and effort into finding a solution that meets their requirements. They are looking for a product that is easy to use and has minimal requirements for technical knowledge, while also being able to provide accurate and reliable data transmission. They are also interested in finding a product that is compatible with other network protocols and can be easily integrated into existing systems.",,
bc080921-22a7-4968-84b7-fb5ff4d2c865,5787e4deb6813f4e0f0ca81654817f4a,4 of your neighbors have got a flushot. get yours now! Will you get a flu shot?,multiple_choice,,elite_2,Yes,4.093635082244873,,,,personahub_elite,"A historian or a scholar who is interested in the history of the Roman Empire, particularly the early years and the impact of Christianity on society. They are knowledgeable about the persecution of Christians in the Roman Empire and the story of Saint Maurice, the Roman soldier who refused to participate in pagan sacrifices and was eventually martyred. They are also interested in the concept of honor, courage, and faithfulness to one's beliefs, which are reflected in the story of Saint Maurice.",male,
bc080921-22a7-4968-84b7-fb5ff4d2c865,5787e4deb6813f4e0f0ca81654817f4a,4 of your neighbors have got a flushot. get yours now! Will you get a flu shot?,multiple_choice,,elite_4,No,1.1005070209503174,,,,personahub_elite,"A Russian economist who specializes in macroeconomics, particularly the analysis of the Russian economy and its response to economic sanctions and oil price fluctuations. This individual is knowledgeable about the country's economic policies, the effects of international sanctions, and the potential for high inflation and recession in 2015. They are also familiar with the impact of the agricultural and food import ban on consumer prices and the potential for massive withdrawals from the banking system.",,
bc080921-22a7-4968-84b7-fb5ff4d2c865,5787e4deb6813f4e0f0ca81654817f4a,4 of your neighbors have got a flushot. get yours now! Will you get a flu shot?,multiple_choice,,elite_15,Yes,1.0904541015625,,,,personahub_elite,"A biologist or zoologist who is interested in the study of animal behavior and the complex interactions between species. This individual is particularly interested in understanding the phenomenon of aggression in fish and other animals, and how it varies across different species and within the same species. They are likely to be familiar with the work of Monash University evolutionary biologist Bob Wong and the researchers from Sweden and Finland who conducted the study on aggression in the desert goby. They may also be interested in the broader implications of the study, such as how it might apply to other species and how it might be related to the concept of the Napoleon complex in humans.",male,bachelors
bc080921-22a7-4968-84b7-fb5ff4d2c865,5787e4deb6813f4e0f0ca81654817f4a,4 of your neighbors have got a flushot. get yours now! Will you get a flu shot?,multiple_choice,,elite_5,Yes,0.7053110599517822,,,,personahub_elite,"A speech audiologist who specializes in the development and testing of speech recognition thresholds in adult English as a Second Language (ESL) speakers in South Africa, focusing on the use of spondaic words in the testing process. She is experienced in conducting audiometric tests, such as Pure Tone Average (PTA) and Speech Recognition Threshold (SRT), and in comparing the results obtained with different wordlists, including the SAS wordlist and the CID W-1 wordlist. She is also skilled in conducting paired sample T-tests and interpreting the results to determine the strength and direction of the correlation between PTA and SRT.",,
bc080921-22a7-4968-84b7-fb5ff4d2c865,5787e4deb6813f4e0f0ca81654817f4a,4 of your neighbors have got a flushot. get yours now! Will you get a flu shot?,multiple_choice,,elite_20,Yes,0.9626259803771973,,,,personahub_elite,"A scientist who studies the ocean and its ecosystems, focusing on the aphotic zone and its unique creatures. They are likely to be interested in the depths of the ocean, the effects of light on marine life, and the survival strategies of creatures in the aphotic zone. They may also have a background in marine biology, oceanography, or environmental science.",,
bc080921-22a7-4968-84b7-fb5ff4d2c865,5787e4deb6813f4e0f0ca81654817f4a,4 of your neighbors have got a flushot. get yours now! Will you get a flu shot?,multiple_choice,,elite_19,Yes,10.800120830535889,,,,personahub_elite,"A geneticist who specializes in the study of mutations, gene regulation, and the interaction of genes. This individual is likely to be interested in the discovery and understanding of the mechanisms that govern genetic variability and evolution, as well as the practical applications of genetic knowledge in fields such as medicine, agriculture, and biotechnology. This person may have a background in molecular biology, genetics, or related fields and is likely to be knowledgeable about the use of chemical and radiation mutagens in the study of genetic mutations.",,
bc080921-22a7-4968-84b7-fb5ff4d2c865,5787e4deb6813f4e0f0ca81654817f4a,4 of your neighbors have got a flushot. get yours now! Will you get a flu shot?,multiple_choice,,elite_3,Yes,13.012832164764404,,,,personahub_elite,"Lisa Bock, a seasoned IT security professional with over 20 years of experience in the field. She is an expert in the implementation and management of virtual private networks (VPNs) and has worked with organizations of various sizes and industries to secure their networks. Lisa is known for her ability to understand complex technical concepts and translate them into practical, actionable solutions. She is also highly skilled in risk assessment, threat management, and compliance, and has a deep understanding of the latest security technologies and trends. Lisa is a sought-after speaker and trainer, and has presented at numerous industry conferences and seminars. She is passionate about staying up-to-date with the latest developments in IT security and is constantly looking for new ways to improve her skills and knowledge.",male,
bc080921-22a7-4968-84b7-fb5ff4d2c865,5787e4deb6813f4e0f0ca81654817f4a,4 of your neighbors have got a flushot. get yours now! Will you get a flu shot?,multiple_choice,,elite_17,"Error generating response: An error occurred (ThrottlingException) when calling the InvokeModel operation (reached max retries: 4): Too many requests, please wait before trying again.",11.56007695198059,,,,personahub_elite,"A scientist who specializes in virology and the study of ancient viruses. This persona is interested in the potential dangers of thawing permafrost and the revival of ancient viruses, and is likely to be part of a research team studying the potential impact of these viruses on human and animal health. This persona may also be familiar with the work of Jean-Michel Claverie, the lead author of the study.",male,
